posisi,perusahaan,kota,provinsi,gaji,tools,pendidikan,pengalaman,deskripsi_lengkap,level
Data Analyst Staff,PT Porto Indonesia Sejahtera,Jakarta Utara,Jakarta Raya,,"Power BI, Tableau, Google Data Studio, SQL","Computer Science, Informatics Engineering, Information Systems, Information Technology",,"Job Description – Data Analyst (Sales Team)
Menganalisis data pelanggan untuk memahami kebutuhan, tren, dan pola pembelian, serta membantu tim sales menargetkan kampanye yang lebih efektif.
Mengelola, merancang, dan melakukan pemeliharaan sistem database yang mendukung kebutuhan analisis data penjualan.
Menyusun laporan analisis penjualan, pelanggan, dan pasar secara rutin maupun ad-hoc untuk mendukung pengambilan keputusan.
Memberikan insight dan rekomendasi strategi penjualan berdasarkan analisis data dan tren pasar.
Berkolaborasi dengan tim sales, marketing, dan departemen terkait untuk memastikan strategi berbasis data dapat diimplementasikan dengan tepat.
Membuat visualisasi data yang mudah dipahami untuk mendukung presentasi dan laporan manajemen.
Kualifikasi
Pendidikan minimal S1 di bidang Teknik Informatika, Ilmu Komputer, Sistem Informasi, atau bidang terkait teknologi informasi.
Menguasai SQL dan database management untuk mengolah serta menjaga kualitas data.
Mampu menggunakan tools visualisasi (Power BI, Tableau, Google Data Studio) untuk membuat dashboard interaktif.
Analitis, detail-oriented, serta mampu mengubah data mentah menjadi insight yang mendukung strategi penjualan.
Komunikatif dan mampu bekerja sama dengan tim sales maupun departemen lain.",
Supply Chain Data Analyst,PT Mitra Adiperkasa Tbk (MAP Fashion1),Jakarta Lainnya,Jakarta Raya,,Tidak ada tools spesifik,Jurusan Lainnya,,"PT Mitra Adiperkasa Tbk (MAP) Established in 1995, PT Mitra Adiperkasa Tbk (MAP) is a leading retail and lifestyle group in Indonesia. The company’s fashion division features an impressive portfolio of over 40+ international brands, including well-known names such as Zara, Marks & Spencer (M&S), Loewe, Flying Tiger, Pandora, Swarovski, Lacoste, and many more. These brands cater to a wide range of fashion tastes and preferences.
A Supply Chain Management Data Analyst is responsible for analyzing and interpreting data related to supply chain operations. This role involves using data to improve efficiency, reduce costs, and ensure the smooth operation of the supply chain.
Job Responsibilities:
Data Collection: Gather data on supply chain operations, including shipment and delivery times, costs, and inventory levels
Data Analysis: Analyze and interpret supply chain data to identify areas for improvement and efficiency
Reporting: Develop and present reports on key metrics and performance indicators to internal stakeholders
Strategy Development: Develop and implement strategies to optimize supply chain processes and reduce costs
Predictive Modeling: Use predictive modeling to forecast future demand and procurement needs Collaboration: Work with other departments to identify vulnerabilities and close operational gaps
Performance Monitoring: Track and report on the performance of the supply chain, using KPIs and other metrics
Job Requirements:
Must have a bachelor's degree from any majors, but does not necessarily have to be related with data analysis as long as you have matching experience
Must be able to speak English as you'll be working with an expatriate (Non-negotiable)",
Business Analyst - Shopper Marketing Development,PT Kao Indonesia,Jakarta Selatan,Jakarta Raya,,Tidak ada tools spesifik,"Engineering, Management",0,"act as :
Customer Collaboration Development Executive
Responsibilities:
Develop business strategy with customer.
Conduct shopper research to analyze consumers’ shopping behavior.
Explore new ideas and insight to develop retail communication.
Handle merchandising concept to develop shopping journey.
Support implementation for delivering shopper experience.
Requirements:
Bachelor's Degree in
Engineering, Management, or Business.
Minimum 1 year experienced in related position, fresh graduates are welcome to apply.
Proven analytical and strategic thinking capability.
A collaborative team player, with a positive attitude and strong work ethics.
Excellent written and verbal communication skill in English.
Proactive, independent, agile, and strong follow up skills.",Entry Level
Data Analyst,PT Daya Anugrah Mandiri,Bandung,Jawa Barat,,Tidak ada tools spesifik,"Mathematics, Statistics",3,"Job Desc :
Memprediksi tren penjualan dan pemasaran
Melakukan penelitian terhadap kompetitor
Melakukan survei terhadap konsumen dan meneliti demografinya
Menentukan cara yang efektif untuk mengumpulkan data
Menilai efektivitas strategi pemasaran
Menafsirkan hasil analisis data
Mempresentasikan hasil penelitian dalam laporan kepada manajer perusahaan
Mengevaluasi kepuasaan pelanggan
Requirements:
Pendidikan minimal S1 Matematika/ Statistik
Memiliki pengalaman minimal 3 tahun sebagai analis marketing
Memiliki Kreatifitas yang tinggi dengan kemampuan analytical thinking yang sangat baik
Memiliki Keterampilan interpersonal dan komunikasi yang sangat baik.
Mampu mengoperasikan Microsoft Office dengan baik",Mid Level
DATA ANALYST SPECIALIST (ANIMATE SKINCARE),PT. Mercier Estetika Internasional,Jakarta Utara,Jakarta Raya,,"Power BI, Tableau, Excel, Looker","Computer Science, Economics, Mathematics, Statistics",2,"Anda Berpengalaman dalam Penelitian dan Pengembangan Produk Skincare dan Ingin Karir Anda Berkembang Pesat?
Bergabunglah menjadi Data Analyst di PT. Mercier Estetika Internasional, hanya jika Anda:
Memastikan akurasi, konsistensi, dan integritas data di seluruh sistem pelaporan dan analitik.
Kemampuan analitis, berpikir kritis, dan pemecahan masalah yang kuat.
Meningkatkan dan mengoptimalkan proses integrasi, pelaporan, dan visualisasi data guna meningkatkan efisiensi dan skalabilitas.
PT Mercier Estetika Internasional adalah perusahaan pabrikasi skincare dan kosmetik dengan brand MPM Beauty, Animate Beauty & Animate Skinthetic yang berfokus untuk menjadi yang terbaik di tingkat Asia.
1. Berpengalaman lebih dari 15 tahun dalam distribusi dan pengembangan produk sehingga akan siap bersaing di pasar Internasional.
2. Diakui secara prestisius di tingkat dunia melalui produknya, sejalan dengan visinya untuk menjadi perusahaan kosmetik terbaik di Asia.
3. Perusahaan percaya bahwa kebebasan untuk berkreasi ditambah dengan ketekunan dan kegigihan akan membuat kerja lebih optimal dan akan selalu berdampak positif bagi duniai dengan menginspirasi banyak orang.
4. Jika Anda tidak hanya ingin sekedar bekerja, namun juga belajar bersama di Sekolah Kehidupan ini, kami tunggu resume Anda.
Deskripsi Pekerjaan:
• Mengumpulkan, membersihkan, dan mengonsolidasikan data dari berbagai sumber, termasuk platform e-commerce, kampanye KOL, program afiliasi, media sosial, dan saluran kinerja konten.
• Mengembangkan, menerapkan, dan memelihara dasbor dan laporan otomatis menggunakan Power BI untuk memberikan wawasan yang tepat waktu dan akurat bagi pengambilan keputusan.
• Melakukan analisis komprehensif untuk mengidentifikasi tren, mengevaluasi kinerja, dan merekomendasikan strategi optimasi.
• Berkolaborasi dengan tim lintas fungsi (pemasaran, konten, dan unit bisnis) untuk menerjemahkan temuan data menjadi inisiatif strategis.
• Memastikan akurasi, konsistensi, dan integritas data di seluruh sistem pelaporan dan analitik.
• Meningkatkan dan mengoptimalkan proses integrasi, pelaporan, dan visualisasi data guna meningkatkan efisiensi dan skalabilitas.
Kualifikasi:
• Gelar Sarjana Matematika, Statistika, Ekonomi, Bisnis, Ilmu Komputer, atau bidang terkait.
• Minimal 1–2 tahun pengalaman profesional dalam analisis data, analitika, atau intelijen bisnis. • Kemahiran tingkat lanjut dalam Microsoft Excel (tabel pivot, rumus kompleks, pemodelan data).
• Pengalaman langsung dengan alat visualisasi data seperti Power BI, Tableau, atau Looker.
• Kemampuan analitis, berpikir kritis, dan pemecahan masalah yang kuat.
• Kemampuan yang terbukti untuk mengintegrasikan dan menganalisis kumpulan data dari berbagai sumber untuk menghasilkan wawasan yang jelas dan dapat ditindaklanjuti.
• Keterampilan komunikasi yang sangat baik, dengan kemampuan untuk mempresentasikan temuan kompleks kepada pemangku kepentingan teknis maupun non-teknis.
• Sangat berorientasi pada detail, terorganisir, dan nyaman bekerja dengan kumpulan data besar.
Lokasi Kerja: PIK 2, Jakarta Utara
Hanya jika Anda memenuhi kriteria,  Action sekarang juga! Sebelum tanggal 19 Oktober 2024
All resumes will be handled strictly confidential and only shortlisted candidates will be contacted",Mid Level
ESG Data Analyst,"PT SMART,Tbk",Jakarta Lainnya,Jakarta Raya,,Tidak ada tools spesifik,"Agriculture, Engineering, Information Technology, Management",4,"Job Description Summary:
Coordinate and prepare key sustainability disclosures for company and its subsidiaries,
including the Sustainability Report, Annual Report, UN Global Compact Communication
of Progress, and CDP submission.
Ensure timely, accurate, and consistent ESG data collection and management across the
organization.
Support the enhancement of ESG data systems and contribute to the implementation of
digital tools and automation to improve reporting efficiency, data governance, and
alignment with relevant sustainability standards and frameworks.
Job Description:
Coordinate ESG data collection across various departments and business units, ensuring
timely and accurate input to support both internal and external sustainability disclosures.
Validate and organize ESG-related data, including environmental, social, and governance
indicators, to support compliance with relevant reporting frameworks.
Assist in maintaining and improving the company’s internal ESG data management
systems and tools, with a focus on enhancing efficiency, reliability, and audit-readiness.
Support the preparation of key corporate disclosures such as the Sustainability Report,
Annual Report (sustainability section), UN Global Compact Communication of Progress,
and CDP submission.
Contribute to data submissions for sustainability benchmarks and ratings including
SPOTT, CDP, MSCI, and Sustainalytics.
Work closely with the ESG Data Manager and Head of ESG Reporting to improve ESG
data quality, system integration, and readiness for emerging disclosure requirements.
Perform other related tasks as required to support the company’s ESG strategy and
reporting commitments.
Job Requirement:
Bachelor’s degree in Environmental Management, Sustainability, Agriculture, Engineering,
Data Science, or a related discipline.
Minimum 2–4 years of experience in sustainability, certification, ESG reporting, or
environmental data roles — preferably within the palm oil sector.
Willing to be placed in Jakarta
""Our company has never levied any fees for the recruitment process nor has it required to order tickets and accommodation through a certain travel agent or certain person""",Mid Level
Data Analyst,A&W Restaurants Indonesia,Jakarta Utara,Jakarta Raya,,"SQL, Excel, Python",,3,"We’re looking for a skilled Data Analyst with a passion for numbers and a solid understanding of the Food & Beverage (F&B). This role is ideal for someone who thrives on turning complex data into clear business insights and enjoys working cross-functionally with teams like operations, marketing and finance.
Responsibilities:
Sales & Revenue Analysis: Track and interpret key metrics such as average order value, sales per item, and revenue trends.
Inventory & Supply Chain Analysis: Monitor food costs, wastage, and inventory turnover to optimize supply chain performance.
Customer Behavior Analysis: Identify patterns in customer preferences, peak hours, and feedback for improved service and retention.
Operational Efficiency: Analyse data on staffing, kitchen output, and delivery times to improve day-to-day operations.
Menu Engineering: Evaluate item profitability and popularity to support strategic menu decisions.
Cost of Goods Sold (COGS): Assess how raw material costs influence profit margins.
Seasonality & Promotions: Analyse the impact of holidays, seasons, and marketing campaigns on sales performance.
POS Systems: Work with data from systems to derive actionable insights.
Fixed Asset Records: Verify and manage records of fixed assets at various restaurant locations.
Requirements:
Bachelor’s degree (S1) in Mathematics, Statistics, or a related quantitative field.
At least 3 years of experience in the F&B or relevant industry.
Advanced Excel skills, including formulas, pivot tables, dashboards, and charts.
Experience working with relational databases (e.g., querying sales and inventory data).
Basic programming knowledge for analysis using Python, SQL, or similar tools.
Strong communication skills with the ability to explain technical findings to non-technical teams (managers, marketers).
Problem-solving mindset with a keen eye for uncovering insights that drive business decisions.
Collaborative attitude and experience working with cross-functional teams.",Mid Level
Data Analyst,"PT Matahari Putra Prima Tbk (Hypermart, Foodmart, BOSTON, Hyfresh)",Tangerang,Banten,,"SQL, Tableau, Python, R, Power BI, Excel","Economics, Information Technology, Mathematics, Statistics",3,"Responsibilities
Collect, organize, and clean raw data from various sources.
Analyze data to identify trends, patterns, and relevant insights to support decisions.
Use statistical tools and data analysis software (e.g., Excel, SQL, Python, R) to analyze large datasets.
Create reports and data visualizations (e.g., using Tableau, Power BI) to assist the team in making data-driven decisions.
Requirements
Bachelor's degree in Information Technology, Statistics, Mathematics, Economics, or a related field.
Minimum 3 years of experience as a Data Analyst, preferably in the retail industry or a related field.
Proficiency of SQL to extract and manage data from databases.
Experience with data visualization tools such as Tableau, Power BI, or similar tools.
Advanced Microsoft Excel skills (e.g., pivot tables, VLOOKUP, formulas).
Strong ability to analyze quantitative data to identify trends, patterns, and business insights.
Skill in using statistical techniques and predictive models for data analysis.
Ability to communicate findings and recommendations clearly and easily understood by non-technical individuals.
Ability to create compelling and informative reports and presentations.
Ability to manage multiple projects and deadlines simultaneously.
Able to work independently and in a team with minimal supervision.",Mid Level
Data Analyst Intern,PT Tawada Healthcare,Jakarta Barat,Jakarta Raya,,Excel,Data Science,0,"Requirements:
- Final Student or Fresh Graduate.
- Majoring in statistics/mathematics/data analystics/data science.
- Strong research/analysis experience and abilities, including excellent Excel skills.
- Able to work creatively and analytically.
- Excellent communication and intepersonal skills.",Entry Level
"Specialist, Downstream Climate Risk Analyst - Thamrin",ASIA PULP AND PAPER,Jakarta Pusat,Jakarta Raya,,Tidak ada tools spesifik,Engineering,3,"Key Responsibilities:
Conduct carbon accounting and develop accurate carbon footprint assessments across operations, along with inventories of energy and water consumption.
Perform Life Cycle Assessments (LCA) to evaluate environmental impacts of products and processes.
Develop decarbonization roadmap and strategies, including scenario analysis and mitigation planning.
Evaluate opportunities to increase the use of renewable resources, implement green energy solutions, and explore Carbon Capture and Storage (CCS) technologies and carbon offset mechanism.
Set and monitor targets for energy, carbon, and water usage, aligned with corporate sustainability goals.
Track and report progress on energy, water, and carbon performance, ensuring transparency and compliance with ESG standards.
Collaborate with cross-functional teams to integrate climate risk into business decision-making.
Stay updated on climate regulations, reporting frameworks, and emerging best practices.
Qualifications:
Bachelor’s degree in Environmental Engineering, Chemical Engineering, or a related field.
Minimum 3 years of experience in ESG, sustainability, or related
Proficiency in environmental modeling software is a plus.
Willing to be placed in Thamrin Area
Willing to do business trip",Mid Level
Junior Financial Modeling Analyst,Ravenry,Jakarta Lainnya,Jakarta Raya,,"SQL, Python, R, Excel, JavaScript","Computer Science, Finance",,"About the Role
We are looking for a motivated junior analyst to join our team. This role is ideal for someone with a strong foundation in
finance and Excel modeling
, paired with curiosity about
technology and coding
. You will work closely with senior consultants on building and improving financial models, exploring automation opportunities, and supporting decision-making with data-driven insights.
Responsibilities
Build and maintain financial models (e.g., 3-statement models, cash flow projections, scenario analysis).
Conduct data analysis using Microsoft Excel and other tools.
Support reporting, dashboards, and ad-hoc analysis for projects.
Collaborate with senior team members on client deliverables and internal initiatives.
Experiment with coding to improve model automation and analytics.
Requirements
Degree in IT/Computer Science, Finance, Business, or a related field.
Strong proficiency in
Microsoft Excel
(functions, lookups, pivot tables; VBA/macros a plus).
Basic knowledge of
financial modeling
and corporate finance concepts.
Interest in
coding / data analytics
(JavaScript, Python, R, or SQL — prior exposure is a bonus but not mandatory).
Strong analytical thinking, attention to detail, and eagerness to learn.
What You’ll Gain
Mentorship from experienced professionals in both finance and tech.
Exposure to real-world modeling projects (beyond textbook cases).
A chance to learn how
finance and coding intersect
in consulting and product environments.
Growth path toward roles in
financial analytics, product modeling, or fintech
.",
Quality – Control Credit Analyst (P2P Lending),PT Anugerah Digital Indonesia,Jakarta Selatan,Jakarta Raya,6000000,Excel,"Accounting, Economics, Finance",2,"Key Responsibilities:
• Conduct quality control checks on credit applications, scoring, and approval decisions.
• Review and validate borrowers’ documents, financial data, and background information.
• Ensure that loan assessments comply with internal policies and OJK regulations.
• Identify errors, risks, or inconsistencies in credit evaluation and provide feedback for improvements.
• Monitor overall loan portfolio quality and highlight early warning signs.
• Prepare and maintain QC reports for management and regulatory needs.
Requirements:
• Bachelor’s degree in Finance, Accounting, Economics, Business, or related fields.
• At least 2 years of experience in credit analysis / quality control / risk management, preferably in P2P lending or financial services.
• Familier with Mictosoft Excel and Google Sheet
• Strong knowledge of credit assessment principles and OJK P2P lending regulations.
• Good analytical and problem-solving skills with high attention to detail.
• Strong organizational and reporting skills.
• Integrity, professionalism, and ability to work under deadlines.",Mid Level
BUSINESS ANALYST,PT Yamaha Indonesia Motor Mfg,Jakarta Timur,Jakarta Raya,,Excel,"Economics, Management",3,"REQUIREMENT :
S1 Bisnis, Manajemen, Ekonomi
Memiliki pengalaman kerja minimal 3 tahun di bidang manajemen bisnis, pengembangan budaya kerja, analyst bisnis case
Terbiasa mengelola bisnis proyek dengan ketelitian & tenggat waktu yang sesuau
Pemahaman tentang business model canvas, feasibility study, dan penyusunan business case
Pengalaman dalam design thinking, lean startup, atau agile methodolody
Memiliki kemampuan problem solving yang baik, kritis, dan detail-oriented
Mahir dalam menggunakan tools analisis seperti Microsoft Excel, PowerPoint, dan platform data
JOB DESCRIPTION :
Bertanggung jawab mengidentifikasi kebutuhan bisnis & menerjemahkannya ke dalam solusi yang efektif & efisien.
Berperan sebagai penghubung antara pemangku kepentingan bisnis & tim teknis untuk memastikan solusi yang dikembangkan sesuai dengan tujuan organisasi.
Mengumpulkan & menganalisis data, mendokumentasikan proses bisnis, serta memberikan rekomendasi perbaikan.
Melakukan pengujian solusi dan memastikan implementasi berjalan lancar.
Memiliki kemampuan analisis yang kuat, komunikasi yang efektif, dan pemahaman yang baik terhadap proses bisnis & tenologi",Mid Level
Data Analyst Teknik,PT. Best Agro International,Jakarta Selatan,Jakarta Raya,,Excel,"Agronomy, Engineering, Information Technology",,"Uraian pekerjaan :
Membuat dan menganalisa laporan - laporan Dept. Teknik (meliputi laporan transportasi, sipil, dan infrastruktur).
Mengidentifikasi faktor penyebab terjadinya masalah yang terjadi di lapangan serta menemukan solusi masalah.
Kualifikasi :
S1 Teknik, Agronomi, Teknologi Informasi, atau jurusan lain yang terkait.
Berpengalaman sebagai Kasie Teknik / Agronomi.
Expert dalam menggunakan Ms. Excel.
Bersedia penempatan di Head Office (Kuningan, Jakarta Selatan)
Hari kerja operasional Senin - Sabtu (regular office days)",
Credit Analyst,PT. Sinta Prima Feedmill,Jakarta Barat,Jakarta Raya,,Tidak ada tools spesifik,,3,"Uraian Pekerjaan:
Melakukan kunjungan ke pelanggan untuk menganalisa kelayakan calon pelanggan atau calon pelanggan
Melakukan analisa kelayakan calon pelanggan berdasarkan 1P: Purpose (tujuan pembiayaan), 5C: Character, Capacity, Collateral, Capital, dan Condition
Melakukan verifikasi kebenaran data keuangan/penghasilan pelanggan
Memastikan syarat dan ketentuan pemberian kredit sesuai dengan ketentuan yang berlaku di perusahaan
Menganalisis laporan keuangan pelanggan untuk menilai kemampuan pembayaran
Membuat laporan hasil analis
Kualifikasi:
Memiliki pengalaman minimal 3 tahun di posisi Credit Analyst, lebih diutamakan dari lembaga keuangan
Kemampuan komunikasi yang baik dengan segala kalangan
Memiliki SIM A
Bersedia untuk melakukan perjalanan dinas ke Peternakan unggas, ikan, tambak, area pelosok
Penempatan: Jakarta Barat",Mid Level
Sales Data Analyst,PT EXODO ECOMMERCE INNOVASIA,Jakarta Pusat,Jakarta Raya,,Excel,,,"Sales Data Analyst
Sales Data Analyst is responsible for collecting, interpreting, and presenting sales-related information to aid in decision-making processes. This position should have optimizing sales strategies through the analysis of data.
Job descriptions:
Gather and organize telesales data from CRM systems, transaction records, and external databases (delivery record).
Ensure data accuracy and completeness by identifying and rectifying errors, duplicates, or inconsistencies.
Utilize statistical methods to analyze sales trends, patterns, and performance indicators.
Prepare comprehensive daily, weekly & monthly reports and dashboards to communicate findings, including agent’s (telesales) performance report.
Develop accurate sales forecasts based on historical data, market trends, and other relevant factors.
Determine and track key performance indicators (KPIs) such as sales growth, customer acquisition cost, conversion rates, and customer retention.
Work closely with sales teams, and other departments to understand business requirements and provide data-driven insights.
Propose and implement improvements to data collection processes and analytical methodologies to enhance overall efficiency and accuracy.
Provide actionable recommendations based on data analysis to support strategic decision-making and improve overall sales performance.
Requirements:
Experience at least 1 year in relevant field is mandatory
Advance in Microsoft Office: Microsoft Excel ( Dashboard, Pivot, Lookup ,etc), Microsoft Word & Power Point is mandatory.
Good analytical & critical thinking, attention to and able to manage multiple tasks and meet deadlines.",
Asset Data Analytic,"PT. BFI FINANCE INDONESIA, Tbk",Tangerang,Banten,,"R, SAS, SQL, Excel","Computer Science, Mathematics, Statistics",,"Job Description
Analyze large amounts of information to discover trends and patterns
Analyze data related to or within the scope of collection to develop company business recommendations (Business Improvement)
Create data modeling to enrich the analysis of company financial parameters
Create report and give new insight for business growth
Minimum Qualifications
Bachelor degree in Mathematic, Statistics, Computer Science or other related majors.
Min. 1 year of experience as Data Analyst / MIS
Hands on with SQL, Phyton/SAS/SPPS, R, and data visualization tools
Proficient in using Ms. Office (especially Excel)
Strong in data analysis, read data well and detail oriented
Have good communication skills and easy to adapt in a new environment",
Data Analyst Intern,PT Surgika Alkesindo,Jakarta Lainnya,Jakarta Raya,,"Power BI, Tableau, Excel",Computer Science,0,"We are seeking a driven and analytical Data Analyst Intern to join our team at PT Surgika Alkesindo in Jakarta.
Qualifications:
Fresh graduate or final year student in Statistics, Mathematics, Computer Science, Business, Marketing, or a related field from reputable University
Experience with data visualization tools like Tableau, Power BI, or Excel.
Excellent communication and interpersonal skills.
Strong analytical and problem-solving skills with the ability to interpret complex data
A proactive attitude and a strong desire to learn.
Ability to work both independently and as part of a team.
Willing to be placed in Cempaka Putih, Central Jakarta
What we offer
At PT Surgika Alkesindo, we are committed to fostering a dynamic and supportive work environment. You will have the opportunity to work on diverse and challenging projects, receive mentorship from experienced professionals, and participate in ongoing learning and development programs.
About us
PT Surgika Alkesindo is a leading provider of medical equipment and supplies in Indonesia. With a focus on innovation and customer satisfaction, we are dedicated to improving healthcare outcomes across the country. Our team of talented professionals is driven by a shared passion for making a positive impact on the lives of our clients and the communities we serve.
If you are excited by the prospect of joining our team and contributing to the success of our organisation, we encourage you to apply now.",Entry Level
SENIOR DATA ANALYST,PT Mitra Andal Sejati,Jakarta Lainnya,Jakarta Raya,,"SQL, Tableau, Excel, Google Data Studio","Informatics Engineering, Management, Mathematics",5,"JOB DESCRIPTION :
Data Planning & Processing
Membuat & menyederhanakan kerangka database dan query untuk laporan.
Melakukan proses laporan rutin harian, mingguan, & bulanan dalam excel & google spreadsheet
Melakukan evaluasi dari data konsumen sesuai dengan kriteria yang diberikan
Memimpin team dalam melakukan proses data laporan rutin
Analisa Data
Membuat analisa strategis dari laporan terkait data customer, sellout, & data retail lainnya.
Memberikan advice / rekomendasi progressif yang berbasis data kepada management
Menyajikan data laporan & rekomendasi dalam bentuk yang mudah dibaca
Presentasi Analisa
Melakukan presentasi kepada semua stakeholder & client terkait analisa & rekomendasi
QUALIFICATION :
Basic Qualification
Pendidikan minimal S1 khusus jurusan Teknik Informatika/Matematika/Manajemen atau sejenisnya
Minimal pengalaman 5 tahun di bidang analisis data, khususnya CRM, Survey / Research, & Perusahaan Alihdaya
Hard Skills Requirements
Menguasai database dan query (minimal SQL atau lainnya)
Memahami dasar-dasar bahasa pemprograman
Menguasai analytical program (Google Data Studio, Tableau, atau lainnya)
Menguasai Microsoft Office (terutama excel; fungsi macro dalam excel dan powerpoint)
Menguasai Google Workspace (Google Spreadsheet, Google Slides, etc)
Soft Skills Requirements
Memiliki Business Mindset yang baik
Mampu berfikir kritis & detail
Mempunyai leadership yang kuat, thinking yang analistis dan kemampuan memaintain hubungan yang baik dengan klient
Memiliki skill komunikasi presentasi yang baik dan mampu bekerja dalam tekanan
Penempatan : Jakarta",Senior Level
Data Analyst for Sales Business Improvement,PT Mega Niaga Sejahtera,Bogor,Jawa Barat,,Excel,"Computer Science, Information Systems, Management, Statistics",1,"Responsibilities :
a. Pengelolaan dan Analisis Data
- Memfasilitasi data yang berhubungan dengan projek setiap section di divisi Sales & Channel
- Mengelompokkan data berdasarkan insight section di Divisi Sales & Channel
- Melakukan visualisasi data berdasarkan kebutuhan dengan dashboard
b. Pelaporan dan Visualisasi Data
- Melakukan pembuatan formula excel dalam perhitungan kebutuhan operasional data Sales & Channel
- Melakukan visualisasi data berdasarkan kebutuhan dengan dashboard
- Bekerjasama dengan Divisi IT (Business Support) dalam penarikan sumber data
- Mempersiapkan laporan harian, mingguan, dan bulanan untuk manajemen dengan mempertimbangkan metrik bisnis
c. Pengembangan Strategi, Penjualan, dan Pelatihan
- Membuat rekomendasi dan perencanaan strategis untuk meningkatkan kinerja cabang, seperti meningkatkan kualitas layanan, memperluas jangkauan pasar, dan meningkatkan produktivitas karyawan
Requirements :
1. Memiliki pendidikan minimal S1 Statistika, Ilmu Komputer, Sistem Informasi, Business Management, dll dengan minimal GPA 3.00
2. Memiliki pengalaman minimial 1 tahun di bidang yang sama",Entry Level
IT Business Analyst,PT Radana Bhaskara Finance Tbk,Jakarta Selatan,Jakarta Raya,,Tidak ada tools spesifik,"Economics, Informatics Engineering, Information Systems",2,"Kualifikasi:
- Pendidikan minimal S1 (Sistem Informasi, Teknik Informatika, Ekonomi, atau jurusan terkait).
- Pengalaman minimal 2 tahun sebagai Business Analyst (diutamakan dari industri multifinance, perbankan, atau fintech).
- Menguasai tools dokumentasi & analisis: Visio/Lucidchart, MS Office, Jira/Confluence.
- Memahami proses bisnis: leasing, pembiayaan konsumen, factoring, dan collection.
- Komunikatif, analitis, dan mampu bekerja dalam tim.
Jobdesc:
- Mengumpulkan dan menganalisis kebutuhan bisnis dari berbagai divisi.
- Menyusun dokumen requirement seperti BRD, FSD, dan User Story.
- Menjadi penghubung antara user bisnis dan tim IT.
- Melakukan pemetaan proses bisnis dan memberikan rekomendasi perbaikan.
- Mendukung implementasi sistem multifinance serta melakukan UAT.",Mid Level
Data Analyst Internship,Floothink 360 Digital Agency,Jakarta Selatan,Jakarta Raya,,Excel,"Computer Science, Data Science",,"We're Hiring !!
Floothink 360 Digital Agency is looking for a Data Analyst Internship to join our team.
Requirements :
Currently studying
Data Science
,
Statistics
,
Computer Science
, or related fields.
Basic knowledge of data analysis tools such as Ms.
Excel
,
Google Sheets
, & Ms. Office.
Strong analytical thinking and problem-solving skills.
Attention to detail and the ability to work with large datasets.
A positive, proactive, and customer-focused attitude.
Benefits :
Mentorship from experienced Data Analysts & Business professionals.
Opportunity to improve your technical skills.
Certificate of Internship upon successful completion
Transport Allowance
If you Interested, Send your
CV to
hr@floothink.com
with subject Name_Data Analyst Internship.
Let’s create something amazing together! 🚀 #Internship #DataAnalyst",
Trader / Stocks Analyst (Saham),PT. Indo Inovasi Teknologi,Badung,Bali,10000000,Tidak ada tools spesifik,,,"Live Streamer (Trading Products)
Job Desk:
Membuat rencana materi streaming.
Skill public speaking yang sangat baik.
Dapat menjelaskan produk dengan jelas dan menarik.
Menjaga hubungan dan follow up dengan calon klien setelah live berakhir.
Streamer akan mendapatkan training tentang produk secara berkala.
Membagikan konten live/short video ke media social.
Requirements:
Mampu menganalisa pasar dan pergerakan grafik secara fundamental maupun teknikal.
Mempunyai strategi khusus agar audience mau menyalurkan rasa ingin tau tentang Stockbroking
Mahir berbahasa inggris dalam konteks bisnis.
Mempunyai artikulasi dan kosa kata yang jelas dan lugas.
Bisa berekspresi secara maksimal.
Memiliki pengetahuan dalam bidang Trading (Forex/Komoditas/Crypto/Perbankan/Reksadana)
.
Benefits:
Hari kerja Senin - Jumat (Sabtu – Minggu libur).
Gaji pokok 8 – 10 Juta (sesuai skill dan pengalaman).
Komisi diluar gaji pokok (Unlimited).
Bonus tambahan untuk streamer terbaik per minggu dengan nilai transaksi terbesar.
Bonus tambahan bulanan untuk seluruh streamer berdasarkan omset gabungan dari para streamer.",
